infMethod,nObservations,time
Lightweight_MH,10,0.936492781
Lightweight_MH,10,0.881422317
Lightweight_MH,10,0.867233464
Lightweight_MH,10,0.910391656
Lightweight_MH,10,0.916610476
Lightweight_MH,10,0.915758922
Lightweight_MH,10,0.929313642
Lightweight_MH,10,0.947176075
Lightweight_MH,10,0.988128586
Lightweight_MH,10,0.97430523
Lightweight_MH,10,1.002063677
Lightweight_MH,10,0.923688859
Lightweight_MH,10,1.006179031
Lightweight_MH,10,0.984922887
Lightweight_MH,10,0.976191709
Lightweight_MH,10,0.93138627
Lightweight_MH,10,0.974735694
Lightweight_MH,10,0.930110758
Lightweight_MH,10,0.95878871
Lightweight_MH,10,0.974822618
Lightweight_MH,20,2.067954799
Lightweight_MH,20,2.140600019
Lightweight_MH,20,1.939696281
Lightweight_MH,20,1.997823564
Lightweight_MH,20,2.07368121
Lightweight_MH,20,2.137397368
Lightweight_MH,20,2.2364754
Lightweight_MH,20,2.033419476
Lightweight_MH,20,1.998699148
Lightweight_MH,20,2.073510869
Lightweight_MH,20,2.026862338
Lightweight_MH,20,2.146610942
Lightweight_MH,20,2.237859422
Lightweight_MH,20,2.250656631
Lightweight_MH,20,2.142821151
Lightweight_MH,20,2.102592903
Lightweight_MH,20,2.233261636
Lightweight_MH,20,2.29938858
Lightweight_MH,20,2.15290772
Lightweight_MH,20,2.286416389
Lightweight_MH,30,3.220950389
Lightweight_MH,30,3.548908052
Lightweight_MH,30,3.360102855
Lightweight_MH,30,3.36451777
Lightweight_MH,30,3.604162514
Lightweight_MH,30,3.395990998
Lightweight_MH,30,3.554212136
Lightweight_MH,30,3.649594564
Lightweight_MH,30,3.811295225
Lightweight_MH,30,3.851050332
Lightweight_MH,30,3.725480479
Lightweight_MH,30,3.488519335
Lightweight_MH,30,3.588164032
Lightweight_MH,30,3.6165918599999998
Lightweight_MH,30,3.752487477
Lightweight_MH,30,3.872463979
Lightweight_MH,30,3.993276865
Lightweight_MH,30,3.964245882
Lightweight_MH,30,4.01211077
Lightweight_MH,30,3.990336849
Lightweight_MH,40,5.645109132
Lightweight_MH,40,4.777095907
Lightweight_MH,40,5.000075969
Lightweight_MH,40,5.073109593
Lightweight_MH,40,5.231735897
Lightweight_MH,40,5.480004339
Lightweight_MH,40,5.542879705
Lightweight_MH,40,5.608342944
Lightweight_MH,40,5.921367079
Lightweight_MH,40,6.147754411
Lightweight_MH,40,6.125989567
Lightweight_MH,40,6.221330467
Lightweight_MH,40,5.308128856
Lightweight_MH,40,5.464798728
Lightweight_MH,40,5.681556656
Lightweight_MH,40,5.84219887
Lightweight_MH,40,5.924094812
Lightweight_MH,40,6.089365051
Lightweight_MH,40,6.189876234
Lightweight_MH,40,6.308226571
Lightweight_MH,50,8.404622706
Lightweight_MH,50,8.519164264
Lightweight_MH,50,8.736520968
Lightweight_MH,50,9.042872517
Lightweight_MH,50,8.775982572
Lightweight_MH,50,7.670353176
Lightweight_MH,50,7.848793166
Lightweight_MH,50,8.230079252
Lightweight_MH,50,8.430073423
Lightweight_MH,50,8.296362182
Lightweight_MH,50,8.75430638
Lightweight_MH,50,9.12866079
Lightweight_MH,50,9.140136528
Lightweight_MH,50,9.426562983
Lightweight_MH,50,9.732577028
Lightweight_MH,50,8.496499267
Lightweight_MH,50,7.511013087
Lightweight_MH,50,7.670700531
Lightweight_MH,50,7.978658251
Lightweight_MH,50,8.245190437
Lightweight_MH,60,10.176743578
Lightweight_MH,60,10.711460755
Lightweight_MH,60,11.156740306
Lightweight_MH,60,11.435603
Lightweight_MH,60,11.606605099
Lightweight_MH,60,9.370028041
Lightweight_MH,60,9.369188277
Lightweight_MH,60,9.364337097
Lightweight_MH,60,9.897647696
Lightweight_MH,60,10.17975195
Lightweight_MH,60,10.642263948
Lightweight_MH,60,10.431787325
Lightweight_MH,60,11.347742013
Lightweight_MH,60,11.837774733
Lightweight_MH,60,10.209993562
Lightweight_MH,60,9.100402697
Lightweight_MH,60,9.693478602
Lightweight_MH,60,10.21332693
Lightweight_MH,60,10.392478015
Lightweight_MH,60,10.643852976
Lightweight_MH,70,13.051165741
Lightweight_MH,70,13.233855492
Lightweight_MH,70,13.603651727999999
Lightweight_MH,70,11.597761701
Lightweight_MH,70,11.688905479
Lightweight_MH,70,12.23436751
Lightweight_MH,70,12.52154242
Lightweight_MH,70,13.182592997
Lightweight_MH,70,13.787345249
Lightweight_MH,70,14.085998701
Lightweight_MH,70,14.716646746
Lightweight_MH,70,11.939013976
Lightweight_MH,70,11.672212077
Lightweight_MH,70,12.059976536
Lightweight_MH,70,12.81782091
Lightweight_MH,70,13.141157845
Lightweight_MH,70,13.743533248
Lightweight_MH,70,14.148231068
Lightweight_MH,70,14.484501211
Lightweight_MH,70,12.268466304
Lightweight_MH,80,14.066537103
Lightweight_MH,80,13.888999492
Lightweight_MH,80,14.545400361
Lightweight_MH,80,15.589611398
Lightweight_MH,80,15.501543484
Lightweight_MH,80,16.669254176
Lightweight_MH,80,15.090065106
Lightweight_MH,80,13.525703657
Lightweight_MH,80,13.584648287
Lightweight_MH,80,14.312466658
Lightweight_MH,80,15.155218503
Lightweight_MH,80,15.473830767
Lightweight_MH,80,16.138021313
Lightweight_MH,80,15.215856144
Lightweight_MH,80,12.600285104
Lightweight_MH,80,14.436085668
Lightweight_MH,80,14.342533348
Lightweight_MH,80,14.503355055
Lightweight_MH,80,15.400736633
Lightweight_MH,80,16.064717332
Lightweight_MH,90,17.270544723
Lightweight_MH,90,15.315014607
Lightweight_MH,90,15.860547724
Lightweight_MH,90,16.371189282
Lightweight_MH,90,17.355184316
Lightweight_MH,90,17.786333162
Lightweight_MH,90,19.048376173
Lightweight_MH,90,14.278235908
Lightweight_MH,90,15.583613936999999
Lightweight_MH,90,16.248187703
Lightweight_MH,90,17.326650259
Lightweight_MH,90,17.664528958
Lightweight_MH,90,18.140064619
Lightweight_MH,90,15.439418849
Lightweight_MH,90,14.894139245
Lightweight_MH,90,16.04224449
Lightweight_MH,90,16.696652519
Lightweight_MH,90,18.28882498
Lightweight_MH,90,18.296519914
Lightweight_MH,90,17.228460589
Lightweight_MH,100,17.100467892
Lightweight_MH,100,18.270710111
Lightweight_MH,100,19.077631537
Lightweight_MH,100,19.948356905
Lightweight_MH,100,21.203409321
Lightweight_MH,100,18.427653671
Lightweight_MH,100,16.066004153
Lightweight_MH,100,17.968814432
Lightweight_MH,100,19.12214003
Lightweight_MH,100,20.267594253
Lightweight_MH,100,21.271347854
Lightweight_MH,100,16.879267799
Lightweight_MH,100,16.50084383
Lightweight_MH,100,18.696183558
Lightweight_MH,100,19.406806401
Lightweight_MH,100,20.509117614
Lightweight_MH,100,21.270339173
Lightweight_MH,100,17.332962658
Lightweight_MH,100,17.688126207
Lightweight_MH,100,18.890479172
Lightweight_MH_CPS,10,1.022620278
Lightweight_MH_CPS,10,1.032410673
Lightweight_MH_CPS,10,1.019858169
Lightweight_MH_CPS,10,1.01707951
Lightweight_MH_CPS,10,1.030814009
Lightweight_MH_CPS,10,1.097518578
Lightweight_MH_CPS,10,1.054680644
Lightweight_MH_CPS,10,1.02695497
Lightweight_MH_CPS,10,0.969277842
Lightweight_MH_CPS,10,1.018479264
Lightweight_MH_CPS,10,1.052689034
Lightweight_MH_CPS,10,1.058603514
Lightweight_MH_CPS,10,1.043633107
Lightweight_MH_CPS,10,1.035798324
Lightweight_MH_CPS,10,1.024172941
Lightweight_MH_CPS,10,0.995201268
Lightweight_MH_CPS,10,1.027649013
Lightweight_MH_CPS,10,1.03701702
Lightweight_MH_CPS,10,1.077710954
Lightweight_MH_CPS,10,1.044230831
Lightweight_MH_CPS,20,2.1725071910000002
Lightweight_MH_CPS,20,2.079375052
Lightweight_MH_CPS,20,2.20544595
Lightweight_MH_CPS,20,1.67993605
Lightweight_MH_CPS,20,1.70424235
Lightweight_MH_CPS,20,1.720844501
Lightweight_MH_CPS,20,1.8687478849999999
Lightweight_MH_CPS,20,1.71221314
Lightweight_MH_CPS,20,1.723083746
Lightweight_MH_CPS,20,1.640919778
Lightweight_MH_CPS,20,1.656182855
Lightweight_MH_CPS,20,1.6603001499999999
Lightweight_MH_CPS,20,1.764805166
Lightweight_MH_CPS,20,1.778540558
Lightweight_MH_CPS,20,1.804624509
Lightweight_MH_CPS,20,1.7774616540000001
Lightweight_MH_CPS,20,1.852345654
Lightweight_MH_CPS,20,1.842542852
Lightweight_MH_CPS,20,1.866637288
Lightweight_MH_CPS,20,1.8857351850000001
Lightweight_MH_CPS,30,2.710820569
Lightweight_MH_CPS,30,2.795996173
Lightweight_MH_CPS,30,2.675884744
Lightweight_MH_CPS,30,2.747734438
Lightweight_MH_CPS,30,2.657743091
Lightweight_MH_CPS,30,2.6524958400000003
Lightweight_MH_CPS,30,2.714307726
Lightweight_MH_CPS,30,2.726496452
Lightweight_MH_CPS,30,2.77152689
Lightweight_MH_CPS,30,2.754708907
Lightweight_MH_CPS,30,2.833904368
Lightweight_MH_CPS,30,3.044953017
Lightweight_MH_CPS,30,2.905184579
Lightweight_MH_CPS,30,2.958161473
Lightweight_MH_CPS,30,2.858761677
Lightweight_MH_CPS,30,3.049729108
Lightweight_MH_CPS,30,2.746788886
Lightweight_MH_CPS,30,2.29263524
Lightweight_MH_CPS,30,2.318486992
Lightweight_MH_CPS,30,2.373523823
Lightweight_MH_CPS,40,3.037370018
Lightweight_MH_CPS,40,3.139891275
Lightweight_MH_CPS,40,3.302840393
Lightweight_MH_CPS,40,3.120878867
Lightweight_MH_CPS,40,3.200588905
Lightweight_MH_CPS,40,3.254370781
Lightweight_MH_CPS,40,3.241676621
Lightweight_MH_CPS,40,3.389406537
Lightweight_MH_CPS,40,3.39644458
Lightweight_MH_CPS,40,3.564658856
Lightweight_MH_CPS,40,3.520162899
Lightweight_MH_CPS,40,3.61344798
Lightweight_MH_CPS,40,3.5284880259999998
Lightweight_MH_CPS,40,3.708314349
Lightweight_MH_CPS,40,3.603555066
Lightweight_MH_CPS,40,3.904113593
Lightweight_MH_CPS,40,3.776844809
Lightweight_MH_CPS,40,3.8434812369999998
Lightweight_MH_CPS,40,3.924739523
Lightweight_MH_CPS,40,3.841364508
Lightweight_MH_CPS,50,3.989522628
Lightweight_MH_CPS,50,4.127856903
Lightweight_MH_CPS,50,4.051342978
Lightweight_MH_CPS,50,4.121314988
Lightweight_MH_CPS,50,4.212712873
Lightweight_MH_CPS,50,4.498106775
Lightweight_MH_CPS,50,4.37353377
Lightweight_MH_CPS,50,4.383932428
Lightweight_MH_CPS,50,4.44522255
Lightweight_MH_CPS,50,4.4819424869999995
Lightweight_MH_CPS,50,4.972138881
Lightweight_MH_CPS,50,5.029303695
Lightweight_MH_CPS,50,4.738141928
Lightweight_MH_CPS,50,5.170979726
Lightweight_MH_CPS,50,4.8224745030000005
Lightweight_MH_CPS,50,5.014702119
Lightweight_MH_CPS,50,4.930349752
Lightweight_MH_CPS,50,5.179260336
Lightweight_MH_CPS,50,5.15840525
Lightweight_MH_CPS,50,5.424926749
Lightweight_MH_CPS,60,5.086213486
Lightweight_MH_CPS,60,4.977899869
Lightweight_MH_CPS,60,5.157921647
Lightweight_MH_CPS,60,5.340846074
Lightweight_MH_CPS,60,5.451321298
Lightweight_MH_CPS,60,5.345164355
Lightweight_MH_CPS,60,5.433585807
Lightweight_MH_CPS,60,5.824032642
Lightweight_MH_CPS,60,5.528092464
Lightweight_MH_CPS,60,5.837304623
Lightweight_MH_CPS,60,6.026835627
Lightweight_MH_CPS,60,5.798206726
Lightweight_MH_CPS,60,6.209873105
Lightweight_MH_CPS,60,6.511296871
Lightweight_MH_CPS,60,6.370904808
Lightweight_MH_CPS,60,6.512235744
Lightweight_MH_CPS,60,6.974388576
Lightweight_MH_CPS,60,5.573170119
Lightweight_MH_CPS,60,5.191510706
Lightweight_MH_CPS,60,5.292104999
Lightweight_MH_CPS,70,6.425380132
Lightweight_MH_CPS,70,6.359248966
Lightweight_MH_CPS,70,6.466503249
Lightweight_MH_CPS,70,6.793861159
Lightweight_MH_CPS,70,6.840805975
Lightweight_MH_CPS,70,6.716187403
Lightweight_MH_CPS,70,7.023093022
Lightweight_MH_CPS,70,7.287059963
Lightweight_MH_CPS,70,7.497972251
Lightweight_MH_CPS,70,7.632547607
Lightweight_MH_CPS,70,8.211429633
Lightweight_MH_CPS,70,7.656879369
Lightweight_MH_CPS,70,7.003546346
Lightweight_MH_CPS,70,5.976520341
Lightweight_MH_CPS,70,6.380760834
Lightweight_MH_CPS,70,6.404219545
Lightweight_MH_CPS,70,6.505581701
Lightweight_MH_CPS,70,6.758217876
Lightweight_MH_CPS,70,6.606956223
Lightweight_MH_CPS,70,7.188563297
Lightweight_MH_CPS,80,8.477063333
Lightweight_MH_CPS,80,8.419012047
Lightweight_MH_CPS,80,8.347731641
Lightweight_MH_CPS,80,8.676280357
Lightweight_MH_CPS,80,8.710623459
Lightweight_MH_CPS,80,8.943847724
Lightweight_MH_CPS,80,8.238988903
Lightweight_MH_CPS,80,6.960798854
Lightweight_MH_CPS,80,7.340471198
Lightweight_MH_CPS,80,7.398267024
Lightweight_MH_CPS,80,7.484714657
Lightweight_MH_CPS,80,7.800571608
Lightweight_MH_CPS,80,7.824156043
Lightweight_MH_CPS,80,8.192280319
Lightweight_MH_CPS,80,8.179846867
Lightweight_MH_CPS,80,7.852172438
Lightweight_MH_CPS,80,8.675175512
Lightweight_MH_CPS,80,8.39049209
Lightweight_MH_CPS,80,8.999051979
Lightweight_MH_CPS,80,9.039322244
Lightweight_MH_CPS,90,8.199092626
Lightweight_MH_CPS,90,8.044869151
Lightweight_MH_CPS,90,8.170621288
Lightweight_MH_CPS,90,7.852856448
Lightweight_MH_CPS,90,8.415842587
Lightweight_MH_CPS,90,8.322561586
Lightweight_MH_CPS,90,8.598051811
Lightweight_MH_CPS,90,9.007750535
Lightweight_MH_CPS,90,9.173577911
Lightweight_MH_CPS,90,9.548578114
Lightweight_MH_CPS,90,9.82504863
Lightweight_MH_CPS,90,9.687875103
Lightweight_MH_CPS,90,7.824245816
Lightweight_MH_CPS,90,7.770333115
Lightweight_MH_CPS,90,7.893037671
Lightweight_MH_CPS,90,8.197811111
Lightweight_MH_CPS,90,8.348139124
Lightweight_MH_CPS,90,8.670806085
Lightweight_MH_CPS,90,8.648202134
Lightweight_MH_CPS,90,8.976859532
Lightweight_MH_CPS,100,9.979980067
Lightweight_MH_CPS,100,10.587123673
Lightweight_MH_CPS,100,10.673415537
Lightweight_MH_CPS,100,9.290605407
Lightweight_MH_CPS,100,8.519577009
Lightweight_MH_CPS,100,8.86483736
Lightweight_MH_CPS,100,9.279856406
Lightweight_MH_CPS,100,9.740630858
Lightweight_MH_CPS,100,9.742350894
Lightweight_MH_CPS,100,10.412297707
Lightweight_MH_CPS,100,9.992563426
Lightweight_MH_CPS,100,9.854326405
Lightweight_MH_CPS,100,10.529975581
Lightweight_MH_CPS,100,10.60352141
Lightweight_MH_CPS,100,9.395425446
Lightweight_MH_CPS,100,8.545087062
Lightweight_MH_CPS,100,8.682940707
Lightweight_MH_CPS,100,9.479937839
Lightweight_MH_CPS,100,9.561193615
Lightweight_MH_CPS,100,9.784571577
Incremental_MH,10,1.025173897
Incremental_MH,10,1.025721444
Incremental_MH,10,0.960527154
Incremental_MH,10,1.008481347
Incremental_MH,10,0.980205238
