Method,Time
IncrementalMH,14.294846999982838
IncrementalMH,16.250469999969937
IncrementalMH,15.041893000015989
IncrementalMH,15.001106999989133
IncrementalMH,15.351619000022765
IncrementalMH,14.752057000005152
IncrementalMH,14.819312000006903
IncrementalMH,16.497591999999713
IncrementalMH,14.83489500003634
IncrementalMH,18.2006270000129
IncrementalMH_noAdapt,14.390552000026219
IncrementalMH_noAdapt,15.435944000026211
IncrementalMH_noAdapt,16.56424600002356
IncrementalMH_noAdapt,15.610921999963466
IncrementalMH_noAdapt,15.6960759999929
IncrementalMH_noAdapt,16.370753999974113
IncrementalMH_noAdapt,17.261518999992404
IncrementalMH_noAdapt,16.278449999983422
IncrementalMH_noAdapt,16.09452300000703
IncrementalMH_noAdapt,14.887713000003714
HashMH,66.08999899995979
HashMH,46.85886700003175
HashMH,60.87628500000574
HashMH,53.08687500003725
HashMH,36.033024000003934
HashMH,61.775124999985565
HashMH,41.21045700000832
HashMH,38.71179500001017
HashMH,49.15489700000035
HashMH,54.1412920000148
HashMH_fullRerun,165.3217730000033
HashMH_fullRerun,171.81396599998698
HashMH_fullRerun,151.88475299999118
HashMH_fullRerun,143.96523500001058
HashMH_fullRerun,202.08574299997417
HashMH_fullRerun,67.20026299997699
HashMH_fullRerun,139.4856939999736
HashMH_fullRerun,194.96991500002332
HashMH_fullRerun,174.89224600000307
HashMH_fullRerun,121.69635199999902
IncrementalMH_noCPS,197.553442000004
IncrementalMH_noCPS,166.34159500000533
IncrementalMH_noCPS,155.18661199999042
IncrementalMH_noCPS,188.64748400001554
IncrementalMH_noCPS,87.0367499999702
IncrementalMH_noCPS,87.9532659999677
IncrementalMH_noCPS,140.50290299998596
IncrementalMH_noCPS,191.65748999995412
IncrementalMH_noCPS,91.85443900001701
IncrementalMH_noCPS,119.14874999999302